	BP_RCS_1	BM_RCS_1	BP_RCS_2	BM_RCS_2	BP_RCS_3	BM_RCS_3	BP_RCS_4	BM_RCS_4	BP_RCS_5	BM_RCS_5	BP_RCS_6	BM_RCS_6	BP_Pitt_6	BM_Pitt_6	BP_Pitt_7	BM_Pitt_7	BP_Pitt_12	BM_Pitt_12	BP_Pitt_17	BM_Pitt_17	BP_Pitt_25	BM_Pitt_25	BP_Pitt_29	BM_Pitt_29	BP_Pitt_47	BM_Pitt_47	BP_Pitt_51	BM_Pitt_51	BP_Pitt_52	BM_Pitt_52	BP_Pitt_62	BM_Pitt_62	BP_Pitt_64	BM_Pitt_64	BP_Pitt_68	BM_Pitt_68	BP_Pitt_71	BM_Pitt_71	BP_Pitt_72	BM_Pitt_72
ACTB	11373.74	7823.31	8218.81	11133.13	16361.53	11963.43	17051.33	13039.8	14823.03	12981.71	10694.34	8912.27	7780.69	5477.52	10869.25	7323.31	9968.22	8708.16	10859.42	9488.47	8258.4	11609.58	10727.35	10320.3	10441.88	6723.8	9682.06	10971.94	11301.28	12035.34	10402.93	7218.53	12281.92	10162.19	11940.09	12450.45	11476.37	8096.07	8018.41	6507.31
ACTR3B	98.76	133.75	64.94	104.17	90.82	136.53	86.54	473.78	242.7	297.81	189.25	266.01	230.07	178.52	130.08	161.15	208.02	291.84	185.19	247.57	323.94	376.23	153.97	186.96	161.06	240.53	188.31	141.69	72.66	71.16	153.14	178.15	209.69	162.94	394.69	245.55	235.95	229.36	324.13	140.61
AKAP2	225.01	128.8	469.03	56.27	158.2	179.56	148.56	96.1	393.82	205.12	228.31	129.81	233.35	121.85	122.62	88.67	303.07	900.48	535.3	71.35	339.27	355.91	186.63	303.08	253.4	92.8	256.1	221.62	239.67	321.37	165.81	43.14	176.84	108.88	242.12	110.25	230.16	200.26	245.46	111.08
ALDH4A1	116.88	136.23	144.32	180.89	79.68	134.88	113.94	87.67	59.56	84.97	98.33	410.71	51.49	52.42	37.32	67.55	69.52	92.16	86.81	53.3	60.19	75.25	73.87	79.7	93.41	698.59	78.34	108.99	135.13	84.93	51.75	124.62	39.62	49.49	58.04	57.63	83.96	104.41	135.32	122.33
ANLN	281.27	285.46	194.83	237.16	262.49	304.51	259.62	151.74	332.78	290.08	129.31	246.85	195.01	263.53	292.15	258.25	334.57	205.44	162.04	202.01	201.37	267.87	284.61	308	161.06	190.79	225.22	232.52	326.35	348.92	212.28	206.91	465.77	422.57	308.45	270.61	241.74	196.84	119.58	130.76
AP2B1	932.55	661.33	1522.54	786.35	986.09	743.89	1445.22	458.6	837.52	621.36	1527.47	1330.03	689.11	966.29	633.35	537.62	554	622.08	853.59	778.81	908.36	693.01	785.4	1324.48	1401.2	1269.48	595.81	435.97	419.42	477.47	889.27	726.97	605.88	641.85	613.59	776.74	812.09	696.64	623.09	402.14
AURKA	117.51	170.29	14.43	186.47	108.98	137.36	50.48	146.69	215.89	217.99	49.84	70.23	120.51	75.09	109.82	108.37	122.75	192.96	49.19	80.8	195.9	188.87	201.41	198.77	65.5	113.59	216.18	148.96	72.66	73.46	89.77	147.79	134.32	109.64	187.39	122.78	131.73	97.56	56.64	52.02
AYTL2	138.13	154.81	331.93	519.9	117.18	143.98	116.83	104.53	317.14	194.82	141.43	174.5	230.07	133.18	298.55	234.33	276.46	514.56	124.42	178.8	195.9	195.64	170.3	263.71	151.39	123.24	94.91	116.26	158.08	195.12	226.01	209.3	228.05	191.87	252.07	253.07	114.36	222.51	110.14	164.51
AZGP1	138.76	556.68	851.47	1733.14	1865.54	2409.57	6471.78	12260.85	1306.54	717.49	6789.45	4594.46	29877.09	53341.36	1421.3	2344.7	47.8	1711.68	2210.66	1606.63	540.64	75.25	672.65	4996.81	1797.4	6225.66	418.8	541.33	3119.48	5086.84	1765.86	9615.92	7703.5	10304.57	1222.2	6173.86	5256.14	7697.25	12915.04	6285.15
BAG1	36.88	18.58	115.45	115.33	107.22	171.28	87.98	60.7	135.49	89.26	144.8	144.71	151.19	104.85	260.16	133.7	36.39	38.4	92.59	86.82	32.83	42.14	188.19	298.16	105.22	111.36	54.23	87.19	70.12	66.57	53.86	49.53	60.88	41.88	91.21	107.74	63.69	53.06	56.64	42.18
